stage;date;team_a;team_b;goals_a;goals_b;penalties_a;penalties_b
Group A;2010.06.11;South Africa;Mexico;1;1
Group A;2010.06.11;Uruguay;France;0;0
Group A;2010.06.16;South Africa;Uruguay;0;3
Group A;2010.06.17;France;Mexico;0;2
Group A;2010.06.22;Mexico;Uruguay;0;1
Group A;2010.06.22;France;South Africa;1;2
Group B;2010.06.12;South Korea;Greece;2;0
Group B;2010.06.12;Argentina;Nigeria;1;0
Group B;2010.06.17;Argentina;South Korea;4;1
Group B;2010.06.17;Greece;Nigeria;2;1
Group B;2010.06.22;Nigeria;South Korea;2;2
Group B;2010.06.22;Greece;Argentina;0;2
Group C;2010.06.12;England;United States;1;1
Group C;2010.06.13;Algeria;Slovenia;0;1
Group C;2010.06.18;Slovenia;United States;2;2
Group C;2010.06.18;England;Algeria;0;0
Group C;2010.06.23;Slovenia;England;0;1
Group C;2010.06.23;United States;Algeria;1;0
Group D;2010.06.13;Serbia;Ghana;0;1
Group D;2010.06.13;Germany;Australia;4;0
Group D;2010.06.18;Germany;Serbia;0;1
Group D;2010.06.19;Ghana;Australia;1;1
Group D;2010.06.23;Ghana;Germany;0;1
Group D;2010.06.23;Australia;Serbia;2;1
Group E;2010.06.14;Netherlands;Denmark;2;0
Group E;2010.06.14;Japan;Cameroon;1;0
Group E;2010.06.19;Netherlands;Japan;1;0
Group E;2010.06.19;Cameroon;Denmark;1;2
Group E;2010.06.24;Denmark;Japan;1;3
Group E;2010.06.24;Cameroon;Netherlands;1;2
Group F;2010.06.14;Italy;Paraguay;1;1
Group F;2010.06.15;New Zealand;Slovakia;1;1
Group F;2010.06.20;Slovakia;Paraguay;0;2
Group F;2010.06.20;Italy;New Zealand;1;1
Group F;2010.06.24;Slovakia;Italy;3;2
Group F;2010.06.24;Paraguay;New Zealand;0;0
Group G;2010.06.15;Ivory Coast;Portugal;0;0
Group G;2010.06.15;Brazil;North Korea;2;1
Group G;2010.06.20;Brazil;Ivory Coast;3;1
Group G;2010.06.21;Portugal;North Korea;7;0
Group G;2010.06.25;Portugal;Brazil;0;0
Group G;2010.06.25;North Korea;Ivory Coast;0;3
Group H;2010.06.16;Honduras;Chile;0;1
Group H;2010.06.16;Spain;Switzerland;0;1
Group H;2010.06.21;Chile;Switzerland;1;0
Group H;2010.06.21;Spain;Honduras;2;0
Group H;2010.06.25;Chile;Spain;1;2
Group H;2010.06.25;Switzerland;Honduras;0;0
Round of 16;2010.06.26;Uruguay;South Korea;2;1
Round of 16;2010.06.26;United States;Ghana;1;2
Round of 16;2010.06.27;Germany;England;4;1
Round of 16;2010.06.27;Argentina;Mexico;3;1
Round of 16;2010.06.28;Netherlands;Slovakia;2;1
Round of 16;2010.06.28;Brazil;Chile;3;0
Round of 16;2010.06.29;Paraguay;Japan;0;0;5;3
Round of 16;2010.06.29;Spain;Portugal;1;0
Quarter-finals;2010.07.02;Netherlands;Brazil;2;1
Quarter-finals;2010.07.02;Uruguay;Ghana;1;1;4;2
Quarter-finals;2010.07.03;Argentina;Germany;0;4
Quarter-finals;2010.07.03;Paraguay;Spain;0;1
Semi-finals;2010.07.06;Uruguay;Netherlands;2;3
Semi-finals;2010.07.07;Germany;Spain;0;1
Third place play-off;2010.07.10;Uruguay;Germany;2;3
Final;2010.07.11;Netherlands;Spain;0;1
